ship_name,id,title,category,comment
60,1140,Pothole,General,There is a large pothole in the middle of the road just before the bend if you are heading toward Parramatta road. It has been there for roughly 3 weeks.
61,1141,Pot hole size of garbage bin,General,Fix the pot hole Byron shire council
62,1142,It is at end of road,General,22 Greville Ave is at the very end of the road not 600 meters as shown on your map
63,1143,Line marking,General,"All of Isles Drive needs to be marked due to the large number of cars now parked there daily as staff and visitors to the hospital refuse to pay for parking on the grounds. It is getting quite dangerous to drive around the area as many people cannot park correctly or safely (eg: too close to intersections or driveways) - this is a heavily utilised industrial and commercial area and it is only a matter of time before a serious accident occurs. Also, the intersection with the Pacific Highway at the lights has no markings or arrows and some drivers get it into their heads to make up road rules as they please such as turning left from the right lane and justifying it by saying if there are no lines or arrows that it is legal - more opportunity for accidents and road rage. Can the community please have someone stand up and show some proactive thinking? Don't wait until it's too late."
64,1145,Storms are pit above road height,General,The storm water pit sits about 10cm road height causing a dangerous situation. An attempt to patch was made yesterday but still the problem is still there. Also this street has many others which council fix some but not others..
65,1146,Lifted curb driveway ramp,General,The curb in front of my driveway is lifted so that the front of my car scrapes when driving in.
66,1148,Hole as big as a garbage bin!,General,Very large hole never addressed by Byron shire council in years. Always have to move over to the left to avoid. Non locals would not see and avoid at night. Well overdue!
67,115,Weeds,General,Weeds are growing where the edge of gutter meets road just past the entrance onto Britten-Jones Drive from Southern Cross. Could you please spray them. This is a common problem along Britten-Jones Drive. Could there be a regular spraying of weed growth along our street. It would appear our street is missed as opposed to other areas of Holt. Thankyou
68,1159,"Aggressive bumps, concrete obstacles and bike lines",General,"Redfern rd Minto is a wide and safe street with footpaths down both sides. Why then is the actually driving area of the road so restricted and cluttered with obstacles? There are two separate bike paths running down the road to the station - the footpath is marked and signposted as a dedicated cycle lane so the addition of further unused cycle room on the actual road is unnecessary. The roundabouts which are supposed to maintain the flow of traffic are dangerous due to the amount of concrete and obstacles surrounding them. I have seen a couple of near misses there as the attention of drivers is focused on navigating their vehicle through the tight space into the roundabout and not on the roundabout itself, nor on the other traffic in or approaching the roundabout. The Kent st roundabout is particularly bad and I would suggest also not required for this quiet T intersection. The addition of a very aggressive bump in this already restricted and difficult to navigate piece of road takes further attention away from the traffic at the roundabout. This aggressive bump is a 'first gear' bump and further bottle-necks traffic flowing down the road. Traffic can now be backed up from the bump to the school and even the traffic lights, as each driver shifts down to first gear to get through this roundabout. Again, roundabouts are designed to maintain traffic flow. This roundabout is unnecessary and the obstacles around it are distracting and dangerous. The additional aggressive bump at the station is also unnecessary and a further distraction reducing the flow of traffic. The bump is right on the entry to a right angle bend at the station. Cars are already slowing down to second gear to go around the bend and the addition of a first gear bump into the bend is unnecessary, a distraction and dangerous. There is a lot of foot traffic at the station and further distractions in the form of this bump and the concrete bumper lanes are unsafe. One might also ask why the existing concrete median was torn up only to be re-laid the same week?"
69,1160,Graffiti at ICE,Graffiti,Nasty graffiti on side door at ICE
70,1168,Street light not working,General,Street light not working for a few months now.
71,1169,Major potholes damaging cars,General,Major potholes towards the end of the coniston close cul de sac - they have been there for years and make the road very difficult to drive on - would be wonderful if they could be repaired! Thank you.
72,117,Repainting lines at intersection,General,"Hi Please repaint intersection lines here as the old incorrect lines are as clear as the correct lines. This leads to some confusion as to who has right of way, and where cars can stop to see clearly when exiting Wallace St."
73,1170,Major potholes damaging cars,General,"There have been major potholes towards the end of the coniston close cul de sac for a long time now, making it very difficult to drive along. It would be great if these could be fixed! Thank you."
74,1172,All street lights not working,General,"Casey crescent and all streets coming off it, Phillipson Crescent, benson Crescent, Marley circuit, rope place etc have no working street lights. Suburb pitch dark"
75,1175,Footpath damage,General,"Post construction of a new house on the corner of Schlich and Musgrave streets in Yarralumla, there is significant damage to the footpaths."
76,1176,Street light out,General,Street light been out over 3 weeks
77,1181,Can't see when turning at stop sign due to parked trucks,General,Trucks always park to close to the intersection and make it imposible to see when turning at stop sign please install no parking signage to fix this problem
78,1182,Misleading line marking,General,Line marking when turning right from Wonderland Drive onto Wallgrove Road misguids you into the Right lane instead of the left lane to many accidents due to this error in line marking
79,1184,Street is very dark,General,The lights are very old and small and the street is very dark at night
80,1185,Deep pothole on corner Emu Road and Rosamond Road,General,Deep pothole/road collapse - same thing again further west on Emu Road - about halfway along.
81,1186,Damaged road surface,General,Multiple potholes getting deeper as I type.
82,1187,Pothole,General,"Big pothole on westbound lane of Mowbray Road, right near the pedestrian refuge island. While traffic can drive around it under light conditions, a lot of vehicles are forced to drive through it during peak hours, risking damage to wheels & vehicles."
83,119,Pot holes at driveway,General,There are potholes developing at the start of 45 Sunny South Crescent's driveway. They are getting quite large.
84,1190,Pole Signage- fallen,General,"Hi, Please fix it"
85,1191,Traffic Congestion,General,"Due to there being a primary school in this street and only one feeder road in to the town from the west, getting out of Robin Street and heading into town on West High Street becomes an issue at school drop off and pick up times, there is also a pedestrian crossing around the corner at the top of the street and with the steady flow of traffic coming in from the west of the city, exiting the street becomes a lengthy experience. I believe there should be a set of traffic lights with pedestrian lights also at the top of the street to enable the safe passing of pupils/children/general public, and to allow the congestion from Robin Street to be dealt with by the functioning of the traffic lights."
86,1192,Speed in Street,General,"Due to the top of Robin Street having a round about and being slightly elevated, drivers speed down Robin Street with no regard for their own safety or that of children that could be playing in the street that houses a primary school. I believe speed humps would be a way of ensuring that speed was kept within a reasonable limit in this street that has seen a death in recent years on the only corner in the street in which the car was travelling from the roundabout end of Robin Street down to Gundagai Street. I believe the speed humps would be a great way of ensuring the safety of our younger generations in a prosperous school."
87,1194,Road Width,General,"In 2018 Council will be opening up the Frame Drive bridge to an open load limit for trucks where previously it was restricted. Many vehicles and trucks will use the adjoining Gingers Lane as a short cut to the Hart Rd on ramp for the new expressway. Gingers Lane is very narrow, has unfinished sections, no curb or guttering and no footpath for the children to walk on when the get off at the bus stop on Government Road."
88,1195,Storm Drains Blocked,General,Drains in this area are blocked up with paper cardboard and general rubbish including dust and gravel The council normally have this matter attended to each year .....But not this year !
89,1197,The road between Federal Highway and Morisset Road is extremely dangerous.,General,"This road (single lane in both directions) is full of pot holes which regularly appear, especially after rain. The road is in dreadful condition and is used as a bypass by heavy vehicles which travel far in excess of the speed limit. Over many years the dangerous conditions of the road have been regularly reported to TAMS who make no effort to improve the conditions."
90,1199,Dangerous traffic light,General,Crossing this traffic light is dangerous in two senses. First there is a forty centimetre curb which I have seen elderly people and children struggle with. Second the traffic light is set up so that cars turning left from Benson St onto High street goes green before the pedestrians have reached the middle island. On more than one occasion I have seen cars having to stop suddenly because they thought they had right of way and pedestrians where still legitimately crossing.
91,120,Weeds and Nails,General,"Along Giles Street in front of, and around, the Aspire Apartment complex (No.71), there are a number of trees along the sidewalks in garden beds. The garden beds are full of weeds and in some cases builders nails from the building work in nearby areas. The garden beds need to be weeded, more topsoil applied and mulch or ground cover for protection. I addition the area would benefit from some aesthetically appropriate bins for rubbish collection."
92,1200,Dangerous road crossing,General,Whenever I am at this location there are people crossing Sir Fred Schonell Drive. I estimate dozens of people cross this dual carriage way (with no central reservation) that divides a suburban neighbourhood. The nearest crossing for pedestrians is 80 to 100 metres away. Cars travel very fast down this road. It is a disaster waiting to happen.
93,1201,Street light in laneways not working,General,Street light that used to illuminate a walkway between Burraly Court and Marou Place in Ngunnawal is not working. This light has not operated for many months if not years.
94,1204,Water leak at water meter behind kerb,General,Water is visible behind kerb
95,1206,"Trees overhanging Bus stop bay, Kingsford Smith Drive, Latham ACT",General,"Trees overhanging Bus stop bay, (stop #4193) Kingsford Smith Drive, Latham, ACT. Northbound, bounded by Southern Cross & Ginninderra Drives. Buses cannot properly enter the bus stop bay to pick up/set down passengers at the actual bus stop."
96,1208,Potholes,General,There are two big potholes between Campbell Road and Canal Road. They have been there for a least three weeks. there is a little lunch shop and the potholes are just past there
97,1209,Cracks and pot holes,General,There are several cracks and potholes in Wigram Road between Glebe Point Road & Minogue Crescent. It is a busy street with buses and also trucks because of the development at Harold Park
98,121,Northumberland Street Bonnyrigg Heights,General,Road surface between Georgina Street and North Liverpool Road is in urgent need of attention.
99,1212,Pothole in centre of intersection,General,There's a pothole here in the middle of the intersection. Currently fairly shallow.
100,1213,Pothole,General,Along Hopetoun Ave there are several patches of road damage but one pothole has become very deep and is getting worse.
101,1217,Hoons Speeding and Doing Burnouts Daily Lots of Kids in Street,General,"Mikkelsen Ave has become a haven for hoons speeding and even more criminal are the frequent burn-outs using the intersection of Mikkelsen and D'Urville. Tyre tracks of burn-outs are in-graved at this intersection and it is clearly visible and evident this happens alot. We suspect these hoons don't live to far away and is using this intersection as a test track frequently with different cars (they must have a hoon club or something. This is safety issue, not only are there burn-outs but dangerous speeding. Let me tell you about this street, there are so many young kids that if you walked passed you would think they are coming out of the drain. It's families with young kids in this street that deserve safety and peace and quite. You hear burn-outs at 11-12 at night, and after smell of burnt rubber that linkers, you hear babies cry. I propose the council set-up a roundabout and put speed humps in the streets concern."
102,1219,Hole in road,General,This large pothole might kill me if I hit it on my Motor scooter
103,1220,Pothole in road,General,A pothole has developed over the past few weeks in chapman parade outside number 5. It is gradually getting deeper.
104,1224,Cars speeding down the hill.,General,"There are so many near collisions with people speeding down the hill, sometimes we've been a matter of inches away from someone crashing into us as we pull out of the street."
105,1226,Is my neighbour a Garbage Disposal Workshop and second hand car factory? his address is 47 Carrington Rd Marrickville NSW 2204,General,"Hi,"
106,1229,Cooma/Krawarree Road from Krawarree to Pike's Saddle,General,Dear Mr Barilaro
107,1230,Graffiti,Graffiti,Graffiti on several buildings around here.
108,1231,Between Brimbin road & Old Lansdowne Road corners surfaceproblems,General,"Extremely rough, uneven surface which causes cars to violently rock side to side, throwing passengers around & causing drivers to try to miss such areas & drive mainly down the more-even surface in the middle of the road.With sharp corners each end of this strip, & with limited view of traffic, this practice is an accident waiting to happen. Council patches potholes & that is about all the attention that is given. Because Ms Machin knows this area I would love to show her just what I mean about the road & perhaps have her drive along the offending strip."
109,1233,Misuse of signage,General,"Brighton Ave is a high use carriageway that has both concealed driveways and crests. The council has decided to implement ""no stopping"" areas for the length of the avenue between Jarret St and Victory Parade. This distance is approximately 250 metres. They have erected 32 ""no stopping"" signs in this distance. Why did not the council use the standard of the unbroken yellow line along the kerb to delineate the area rather then create more risk by placing signs that both draw attention from the road but also increases risk to cyclists, pedestrians and motorists. Obviously less metal post mounted on the kerb would be safer, cheaper and less visual pollution."
110,1234,Mowing of grass around Casey market town,General,Hi can you please arrange to mow the grass around Casey market town. The grass at the roundabout off Clarrie Hermes drive onto kingsland parade the area that joins kingsland parade to Dalkin crescent and also dalkin crescent. It really lets the area down. Thank you
111,1235,Poorly maintained road surface,General,"There are numerous potholes on Greenfield Rd, Empire Bay, on the NSW Central Coast."
112,1236,Unacceptable Road Surface,General,"The access to the playground and Marina that runs through Lot 26 Sorrento Rd, Empire Bay, is dangerously degraded and needs urgent repair."
113,1237,Serious flooding issues,General,"After minimal rain, and more so after moderate rainfall, the road at the intersection of Shelly Beach Rd and Sher Close becomes awash with water from blocked drains that have remained in disrepair for many years."
114,1238,Severely degraded road surface,General,"The road surface along the entirety of Kendall Rd, Empire Bay is unacceptable bad and needs urgent repair."
115,1239,Need for a stop sign,General,"The intersection of Greenfield Rd and Rickard Rd, Empire Bay, is in dire need of a STOP sign the slow traffic down as it nears the intersection. The 50 km speed limit is regularly flouted and a STOP sign will help reduce the risk of a collision. Also, there needs to be more signage and road painted speed signs to remind motorists of the speed limit."
116,1240,Pothole,General,Pothole just before rail bridge
117,1241,NBN Co proposed micronode installation,General,NBN propose to install a cabinet 800 x 800 x 400 outside my front entrance in Wood Street between 2 shrubs. I am concerned that it will impede access to the pavement from the street making it difficult when unloading persons or goods. NBN Case NO 511066-233420093 Thank you Phillip Cocks Member No 3578196 01
118,1243,Road Blocks For peppermint park,General,"Constant vandalism, street racing, dumping of rubbish, paint, burnt couches etc within peppermint park area. Street racing occurs most weekends on or around the park on langford drive, with limited lighting and no road block to stop cars going into the park and killing the wildlife and destroying the park itself. maybe CCTV, better lightning, blocks to stop cars entering the park."
119,1244,Pot hole central,General,Due to high traffic area the street is filled with constant large pot holes. Surprised not more is claimed against the council for tyre damage. more displays of 50kms zone as the street is full of children and we have allot of seeding drivers going up and down the street.
120,1245,Major highway needs updating,General,Central coast highway kariong hill is a major highway. Has major traffic in both directions and is bumper to bumper during peak hours. Needs to be updated to use as a motorway not an old outdated highway with little traffic. There are no safety signs if breakdown or accident on the hill until we are literally on top of the accident. and we see children and bike riders taking lives into danger getting up and down the hill
121,1246,Streetlights constantly on,General,The streetlights in the section of Athlon Drive at Beasley Street have been on constantly for well over a month.
122,1247,Potholes,General,Potholes as you turn into Airlie Street. Lightly repaired each time it rains but need to be fully repaired with new hotmix road base as has been done in other areas of this street.
123,1248,Line Marking Required,General,"Sharp turn on Aberfeldy Crescent near Hebridges Place, creates a blind spot driving in both directions. As there is no line marking in the middle vehicles tend to drive in the middle of the road. I have seen a few near-miss incidents of head on collusion."
124,1249,"Over 10,000 cars, trucks and buses use this one way, four metre wide, residential street every day. RMS maximum recommendation is 2000 cars per day. This is getting worse.",General,"Mary St, St Peters is a single lane, one way street between the Princes Highway and Unwins Bridge Road St Peters. Since the development of IKEA and the light industrial site in Mary St we residents have been inundated with cars, buses and trucks. With the opening of hundreds of apartments in Ricketty St there will be hundreds of vehicles more as this is the only access to go west to the Metro Shjopping Centre etc. The Council needs to look at the impact of all related developments in the area when allowing development applications. Mary St must be the most abused road in Australia."
125,125,Access right turn out of the street,General,Access from lower MacMillan Street is difficult and lengthy at times. Aroundabout at nearby Brady's Corner on Frenchs Forest Road would ease the problem.
126,1251,Noisy metal plate,General,There is a square metal plate covering something (not sure what) on the road in front of our house. When cars drive over it there is a loud noise as the plate moves. I would love the plate to be re-seated so that it is no longer noisy when driven over.
127,1252,"Pot holes, patchy road",General,The whole road all the way fromatcham rd to The main Entrance rd is patchy with potholes and extremely bumpy to drive on. My elderly cousin is too scared to drive on it because the bumps rip the stearing wheel around and hurt her wrists.
128,1254,Traffic light obscured by tree,General,New tree growth now obscures traffic light
129,1257,"Graffiti of a penis,into the cement of the footpath",General,"Almost at intersection of Harrison St and Rangers Rd. on Northern side of footpath, graffiti of a penis had been inscribed into the cement when the path was freshly laid, approximately 3-4 years ago."
130,1258,Pedestrian Crossing needs repair,General,The pedestrian crossing on Duke Street (near Evaline Street) is in very very poor condition and I am in appalled that the council has not maintained this. Paint is not that expensive surely. I have used this crossing many times and most cars won't stop because they don't see the Zebras markings on the speed hump. Also where is the bright pedestrian light overhead for night visibility? Could you please fix this as someone is going to get killed if nothing is done soon. Thank you for reading this.
131,126,Deplorable state of Tinderry Road,General,"As you well know, this road is full of pot holes and corrugations. The low level crossing at Michelago Creek is in appalling condition and has been for years yet nothing done to rectify it bar spreading a bit of gravel over the top to cover the exposed reo. The first decent rain washed that away. There are pot holes in the cement of the crossing and the approach either side is dangerous. The first 4 km of this road is beyond just grading. There are areas where you cannot avoid pot holes as they are from one side of the road to the other. Most of the sheeting gravel had been pushed to the sides of the road which means the main vehicle path is down to bed rock. This road needs more work that just simply grading the gravel back onto the road as if that is all that is done, the road will deteriorate rapidly again. There are a lot of trucks using this road as well as local traffic yet it does not receive very much attention at all. Grading it once a year is not good enough. There are no guide posts on this section of road. The take off drains in some spots go up hill."
132,1260,Advertising sign obstructing footpath and pedestrian crossing,General,"Archer Hotel, 60 O'Connell Street, North Adelaide. Seems to happen most evenings and late afternoon. The Archer Hotel positions an A-Frame Sign in the where the footpath for Archer Street and O'Connell Street intersect affecting people crossing two legs of the O'Connell Street and Archer Street intersection. http://www.adelaidecitycouncil.com/ city-business/ business-responsibilities/ permits-licences-for-business/ objects-on-footpath/ See policy - Operating Guidelines, Setback and Clearance Summary Table, ""Adjacent to bus, taxi and loading zones, construction sites, disabled access car parking spaces and pedestrian crossings Not permitted"""
133,1261,Abandoned vehicle,General,"A Holden Astra with no number plates has been parked in the front yard of 12 Wyuna Avenue, which is an empty derelict property, for about 2 weeks."
134,1263,"Broken kerb infront of 1 ennis place, lalor park",General,"A large concrete chunk of the kerb/gutter has broken away and someone has moved it onto the grass. As a result, earth and grass is spilling into the street gutter blocking the flow of rain in the gutter. This has been an issue for many years but has recently become worse."
135,1266,Bushfire waiting to happen,General,This is a disgrace when will the ACT government learn a lesson this area and s prime bushfire hazard please do something now
136,1267,Lack of weed slashing is a fire hazard,General,"Bottom end of Kerrigan drive is a high fire hazard due to its location just take a look at the map Very neglected as weed slashing goes ,disappointed rate payer"
137,1269,Boat on trailer parked on Queen Street opposite Arlinton Street,General,"A trailer boat has been parked for several weeks and prior to that a car, at the top of the T intersection where Arlington Street meets Queens Road. Queens Road is a major thoroughfare carrying traffic to the City West Link. Arlington Street carries traffic from Queens St to Parramatta Road and Croydon Road. The vehicles are parked in such a way as to prevent through traffic passing vehicles turning right into Arlington Street, with a consequence that a considerable traffic jam can be caused by one vehicle turning right into Arlington Street. I have held mu licence for 50 years and seems to remember that at one state it was illegal to park at the top of a T intersection in any way that blocked through traffic from passing a vehicle making a right hand turn."
138,127,"Tree,s",General,"Trees planted on footpath are overgrown ,blocking footpath and roadway"
139,1271,Park Street Campsie - Request for traffic changes (speeding cars),General,"Hi there,"
140,1272,Dead tree removal,General,Nature strip tree is dead and needs removing
141,1274,Graffiti on western side of toilet block,General,As above
142,1275,Drain cover crumbled,General,There's a gaping hole where a drain cover used to be.
143,1276,"Road washing away, too much water ponding, non existant drainage",General,This road needs to be repaired and drainage provided. A massive amount of water is always ponding in front of 48 Sorrento Rd Empire Bay NSW. Non existant drainage along this entire side of Sorrento Rd. Drainage needed desperately. PLEASE FIX THIS ASAP.
144,1277,Tree,General,"Hi,"
